t_s,E_proxy,discharge
1.0,3.2735225424933536,0
2.0,4.038740624421725,0
3.0,3.214432808014634,0
4.0,3.134528537689259,0
5.0,3.7293413670541735,0
6.0,2.9739163378996336,0
7.0,3.5490989829317576,0
8.0,3.5183972240366046,0
9.0,3.80219844970004,0
10.0,3.9017166394587854,0
11.0,3.726270141200186,0
12.0,3.956903970235992,0
13.0,4.191591826352628,0
14.0,3.366318625638146,0
15.0,3.931979475432772,0
16.0,3.580295879985091,0
17.0,3.8072056213002847,0
18.0,3.572291284446168,0
19.0,4.179809935685908,0
20.0,4.028407870811173,0
21.0,4.023047708522617,0
22.0,4.190725907536551,0
23.0,3.5956982598480542,0
24.0,3.491989426000304,0
25.0,3.5771349268455896,0
26.0,3.519909586726539,0
27.0,3.458056275234779,0
28.0,3.990288209269029,0
29.0,3.494793505216451,0
30.0,3.134916589234817,0
31.0,3.37455331883207,0
32.0,3.801286120102506,0
33.0,3.2267170104459497,0
34.0,3.5212261176824744,0
35.0,3.270142806347618,0
36.0,3.374633520254544,0
37.0,3.888214863622197,0
38.0,3.5943382657145477,0
39.0,3.636873649101105,0
40.0,3.7397480614266736,0
41.0,3.733458679256368,0
42.0,3.6515689478613154,0
43.0,3.657557763199309,0
44.0,3.88413668246652,0
45.0,3.5364254592192355,0
46.0,3.942600338791745,0
47.0,4.003197144420791,0
48.0,4.020005533090158,0
49.0,3.778937259607139,0
50.0,3.766283529172703,0
51.0,4.0084718191898165,0
52.0,2.8714198980929764,0
53.0,3.765098553991636,0
54.0,4.009429913074787,0
55.0,3.230787417835642,0
56.0,3.737456980946886,0
57.0,3.826234187013328,0
58.0,3.3086017552932816,0
59.0,3.414331776706701,0
60.0,3.3121185944249727,0
61.0,3.2746974240203564,0
62.0,3.7908525063673046,0
63.0,3.337916963912546,0
64.0,3.246460452406477,0
65.0,3.4324643195318782,0
66.0,3.692843048778442,0
67.0,3.300284032665854,0
68.0,3.8086010099629632,0
69.0,3.4491531778389177,0
70.0,3.534192733920275,0
71.0,3.708155301057549,0
72.0,3.861252915354256,0
73.0,3.708485489862295,0
74.0,3.819288545445287,0
75.0,3.513587913299879,0
76.0,3.3610564282673554,0
77.0,3.311495684838135,0
78.0,3.4305148546553177,0
79.0,3.3751761581587734,0
80.0,3.474176822205242,0
81.0,3.54394936631535,0
82.0,3.0444493199606604,0
83.0,3.1166789320537065,0
84.0,3.59776446774411,0
85.0,3.4998291063344342,0
86.0,3.500287374782507,0
87.0,3.1297967585274917,0
88.0,3.6544863906897898,0
89.0,3.52746318635458,0
90.0,3.643743706192379,0
91.0,2.7496903966424875,0
92.0,3.688326081595409,0
93.0,3.5779125264063896,0
94.0,3.7160749678891714,0
95.0,3.122441623725745,0
96.0,3.4956425252202274,0
97.0,3.699622137396642,0
98.0,3.2441960837759805,0
99.0,3.5060593156275357,0
100.0,3.027338670044437,0
101.0,3.212881697401019,0
102.0,3.504962925307076,0
103.0,4.067777263088043,0
104.0,3.818547277079354,0
105.0,3.412805079828241,0
106.0,3.762507003266217,0
107.0,3.550602030648283,0
108.0,3.7344631060272286,0
109.0,3.91271710079439,0
110.0,3.4966106499451306,0
111.0,3.5567364434816247,0
112.0,3.551529286231127,0
113.0,2.8395649010158515,0
114.0,3.3213205954660787,0
115.0,3.6578799778114814,0
116.0,3.4189129344720097,0
117.0,3.252209659155883,0
118.0,3.1144584778767515,0
119.0,3.4876245811626365,0
120.0,3.506506523912873,0
121.0,3.455674537823012,0
122.0,3.6107422780465703,0
123.0,3.2610797051117126,0
124.0,3.513396693774324,0
125.0,2.883967316851714,0
126.0,3.634465784337928,0
127.0,3.5020899651082917,0
128.0,3.5252986472837007,0
129.0,3.748899111979848,0
130.0,4.041334556950222,0
131.0,3.707003843025865,0
132.0,3.5353360543538344,0
133.0,3.225325777475609,0
134.0,3.9814503247232,0
135.0,3.36974037789982,0
136.0,3.3705725785472054,0
137.0,3.4790248612375314,0
138.0,3.336180321046759,0
139.0,3.9189573642221744,0
140.0,3.417182977831395,0
141.0,3.354372432844497,0
142.0,4.012088145996789,0
143.0,3.740784797852475,0
144.0,3.430767378448233,0
145.0,3.5059159452733137,0
146.0,3.5460558755147358,0
147.0,4.192583482879772,0
148.0,3.1163520695557825,0
149.0,3.544449039750463,0
150.0,3.3054785819177623,0
151.0,3.5499154189414086,0
152.0,3.276032615337714,0
153.0,3.3764975264270065,0
154.0,4.091478058640903,0
155.0,2.8854240010346714,0
156.0,4.000300821960129,0
157.0,3.499449514725168,0
158.0,3.338215255360988,0
159.0,3.497323239723054,0
160.0,3.3489964352402044,0
161.0,3.5628262865163824,0
162.0,3.9596402663292856,0
163.0,3.6117215947519137,0
164.0,3.5066573937951526,0
165.0,3.450143491313631,0
166.0,3.5687459035352376,0
167.0,3.577873288627487,0
168.0,3.19105955519062,0
169.0,3.7858181724742326,0
170.0,3.6686576253040655,0
171.0,3.812042976685159,0
172.0,2.629357465774197,0
173.0,3.3626778052600983,0
174.0,3.7841211819649976,0
175.0,3.608422193521972,0
176.0,3.326117621526952,0
177.0,3.968459611432309,0
178.0,3.844987833658591,0
179.0,3.3251589052675845,0
180.0,3.13569871181142,0
181.0,3.952260328592714,0
182.0,4.078397101783109,0
183.0,3.680763858791268,0
184.0,2.4848570272679167,0
185.0,3.4180778305663484,0
186.0,3.2722408501726394,0
187.0,3.451874590650445,0
188.0,3.661583424907164,0
189.0,3.311712621889809,0
190.0,3.217298749843327,0
191.0,3.915743970027754,0
192.0,3.29102567347282,0
193.0,2.998750826867365,0
194.0,3.1235199243369585,0
195.0,3.491655864820502,0
196.0,3.07800277532655,0
197.0,3.8020500319157606,0
198.0,3.0720961650987744,0
199.0,2.950128158110342,0
200.0,3.7450083800158938,0
201.0,3.212619524093193,0
202.0,3.1058954169650868,0
203.0,3.986491746023411,0
204.0,2.750105587010073,0
205.0,3.736092557420423,0
206.0,3.291712766678649,0
207.0,3.675255416240328,0
208.0,3.641431112630879,0
209.0,3.1697885825133945,0
210.0,3.8887972903880303,0
211.0,3.607119255401489,0
212.0,3.3200076519219364,0
213.0,3.237972400390851,0
214.0,3.805109568110818,0
215.0,3.7346714223019215,0
216.0,3.17801122191038,0
217.0,3.590647499201804,0
218.0,3.2464546383234767,0
219.0,3.623897177504644,0
220.0,3.734413244836785,0
